"loss","learning_rate","epoch","perplexity","steps","samples"
1.0882,5e-05,0.28,2.9689251946667556,16050,128400
1.1271,5e-05,0.28,3.0866921009357227,16100,128800
1.1271,5e-05,0.28,3.0866921009357227,16100,128800
1.1154,5e-05,0.28,3.0507882504523423,16150,129200
1.1154,5e-05,0.28,3.0507882504523423,16150,129200
1.1636,5e-05,0.28,3.2014377315050937,16200,129600
1.1636,5e-05,0.28,3.2014377315050937,16200,129600
1.1162,5e-05,0.28,3.0532298575653307,16250,130000
1.1162,5e-05,0.28,3.0532298575653307,16250,130000
1.1322,5e-05,0.28,3.102474441410498,16300,130400
1.1322,5e-05,0.28,3.102474441410498,16300,130400
1.0851,5e-05,0.28,2.959735777519058,16350,130800
1.0851,5e-05,0.28,2.959735777519058,16350,130800
1.0971,5e-05,0.28,2.995466562792533,16400,131200
1.0971,5e-05,0.28,2.995466562792533,16400,131200
1.1384,5e-05,0.28,3.1217695359316786,16450,131600
1.1384,5e-05,0.28,3.1217695359316786,16450,131600
1.0889,5e-05,0.29,2.971004169859448,16500,132000
1.0889,5e-05,0.29,2.971004169859448,16500,132000
1.1617,5e-05,0.29,3.1953607747523,16550,132400
1.1617,5e-05,0.29,3.1953607747523,16550,132400
1.0782,5e-05,0.29,2.939383895393538,16600,132800
1.0782,5e-05,0.29,2.939383895393538,16600,132800
1.0957,5e-05,0.29,2.9912758437924074,16650,133200
1.0957,5e-05,0.29,2.9912758437924074,16650,133200
1.1093,5e-05,0.29,3.032235086803943,16700,133600
1.1093,5e-05,0.29,3.032235086803943,16700,133600
1.1146,5e-05,0.29,3.048348595843939,16750,134000
1.1146,5e-05,0.29,3.048348595843939,16750,134000
1.0899,5e-05,0.29,2.973976660026684,16800,134400
1.0899,5e-05,0.29,2.973976660026684,16800,134400
1.1236,5e-05,0.29,3.0759075625338648,16850,134800
1.1236,5e-05,0.29,3.0759075625338648,16850,134800
1.0751,5e-05,0.29,2.9302859144742075,16900,135200
1.0751,5e-05,0.29,2.9302859144742075,16900,135200
1.0905,5e-05,0.29,2.975761581445578,16950,135600
1.0905,5e-05,0.29,2.975761581445578,16950,135600
1.1108,5e-05,0.29,3.036786852404894,17000,136000
1.1108,5e-05,0.29,3.036786852404894,17000,136000
1.1237,5e-05,0.29,3.0762151686701684,17050,136400
1.1051,5e-05,0.3,3.019526406350075,17100,136800
1.0873,5e-05,0.3,2.9662543640456156,17150,137200
1.0722,5e-05,0.3,2.92180039527201,17200,137600
1.1566,5e-05,0.3,3.179105919913286,17250,138000
1.0403,5e-05,0.3,2.830065906783363,17300,138400
1.1345,5e-05,0.3,3.1096183449655594,17350,138800
1.0969,5e-05,0.3,2.994867529385312,17400,139200
1.0755,5e-05,0.3,2.9314582632941297,17450,139600
1.1066,5e-05,0.3,3.024059094625928,17500,140000
1.1037,5e-05,0.3,3.0153020271366158,17550,140400
1.0775,5e-05,0.3,2.9373270466478107,17600,140800
1.0422,5e-05,0.3,2.8354481435119876,17650,141200
1.0946,5e-05,0.31,2.9879872494227393,17700,141600
1.1222,5e-05,0.31,3.0716043049295063,17750,142000
1.1047,5e-05,0.31,3.0183188373174423,17800,142400
1.0812,5e-05,0.31,2.9482152875444014,17850,142800
1.0815,5e-05,0.31,2.9490998848136205,17900,143200
1.0463,5e-05,0.31,2.847097345445765,17950,143600
1.0722,5e-05,0.31,2.92180039527201,18000,144000
1.131,5e-05,0.31,3.098753704969158,18050,144400
